org_id,name,band,callsign,tagline,network_name,eformat,estatus,music_only
5,Kansas Public Radio,FM,KANU,"Your place for classical, jazz and NPR news.",Kansas Public Radio,,1,False
103,KMUW | NPR for Wichita,FM,KMUW,KMUW | NPR for Wichita,,Public Radio,1,False
165,89.9 FM KRPS,FM,KRPS,Four States Public Radio ,,Public Radio,1,False
84,Radio Kansas,FM,KHCC,Listener-supported Public Radio,Radio Kansas,,1,False
9,High Plains Public Radio,FM,KANZ,"In touch with the world, at home on the High Plains.",High Plains Public Radio,,1,False
213,KUER 90.1,FM,KUER,NPR Utah,,Public Radio,1,False
250,Utah Public Radio,FM,KUSU,Utah Public Radio,Utah Public Radio,,1,False
1511,KUSL-FM,FM,KUSL,,,Public Radio,1,False
974,Nevada Public Radio,FM,KSGU,Nevada Public Radio,Nevada Public Radio,,1,False
146,KPCW,FM,KPCW,Listen Like a Local,,Public Radio,1,False
1510,KUSK-FM,FM,KUSK,,,Public Radio,1,False
1267,KRCL,FM,KRCL,Community Connection - Music Discovery,,Variety,1,True
1513,KCEU-FM,FM,KCEU,,,Public Radio,1,False
1512,KUST-FM,FM,KUST,,,Public Radio,1,False
135,Oregon Public Broadcasting,FM,KOPB,News. Arts. Life.,Oregon Public Broadcasting,,1,False
96,KLCC,FM,KLCC,NPR for Oregonians,,Public Radio,1,False
181,Jefferson Public Radio,FM,KSMF,Jefferson Public Radio,Jefferson Public Radio,,1,False
756,Coast Community Radio,FM,KMUN,Serving the Lower Columbia Pacific region - Local & Independent since 1983,,Public Radio,1,False
1014,Coast Community Radio,FM,KCPB,Serving the Lower Columbia Pacific region - Local & Independent since 1983,,Public Radio,1,False
1562,KHEC-FM,FM,KHEC,,,Classical,1,True
1729,KWCA-FM,FM,KWCA,,,Hot AC,1,True
1117,Oregon Public Broadcasting,FM,KMHD,Jazz Radio,,Jazz,15,True
305,WAMU 88.5,FM,WAMU,,,Public Radio,1,False
372,Classical WETA,FM,WETA,Classical for Washington,,Classical,1,True
81,KGOU,FM,KGOU,Your NPR Source,,Public Radio,1,False
276,Public Radio Tulsa,FM,KWGS,Public Radio 89.5 from The University of Tulsa,,Public Radio,1,False
138,KOSU,FM,KOSU,Uniquely Oklahoma,,Public Radio,1,False
28,KCCU,FM,KCCU,Your Public Radio Station,,Public Radio,1,False
1575,KQOU-FM,FM,KQOU,,,Public Radio,1,False
920,Public Radio Tulsa,FM,KWTU,Classical 88.7 from The University of Tulsa,,Classical,1,True
227,KUNM,FM,KUNM,A Public Service Of The University Of New Mexico,,Public Radio,1,False
7,KANW New Mexico Public Media,FM,KANW,KANW New Mexico Public Media,,Public Radio,1,False
167,KRWG,FM,KRWG,News That Matters,,Public Radio,1,False
75,KENW,FM,KENW,Public Radio for Eastern New Mexico and West Texas,,Public Radio,1,False
1535,KUSW-FM,FM,KUSW,,,Public Radio,1,False
1718,KANM-FM,FM,KANM,,,Public Radio,1,False
1536,KUUT-FM,FM,KUUT,,,Public Radio,1,False
711,WWNO - New Orleans Public Radio,FM,WWNO,"NPR news, music and culture for New Orleans and Southeast Louisiana.",,Public Radio,1,False
595,WRKF,FM,WRKF,40 years of NPR for Baton Rouge.,WRKF,,1,False
166,KRVS,FM,KRVS,Radio Acadie,,Public Radio,1,False
62,Red River Radio,FM,KDAQ,Your source for great music and in-depth news.,Red River Radio,,1,False
66,KEDM Public Radio,FM,KEDM,"NPR News, Classical and Jazz in the Delta",,Public Radio,1,False
232,KUOW,FM,KUOW,Sound stories. Sound voices.,KUOW,,1,False
148,KNKX Public Radio,FM,KNKX,"Connecting you to jazz, blues and NPR news",,Public Radio,1,False
141,Spokane Public Radio,FM,KPBX,"Spokane Public Radio, stations KPBX, KSFC, KPBZ",Spokane Public Radio,,1,False
143,KSFC Spokane Public Radio,FM,KSFC,"Spokane Public Radio, stations KPBX, KSFC, KPBZ",,Public Radio,1,False
282,Northwest Public Broadcasting,FM,KWWS,NPR News,,Public Radio,1,False
158,NWPB Classical,FM,KFAE,NPR and Classical Music,,Public Radio,1,False
280,Northwest Public Broadcasting,FM,KLWS,NPR News,,Public Radio,1,False
161,NWPB Classical,FM,KNWR,NPR and Classical Music,,Public Radio,1,False
1174,Northwest Public Broadcasting,FM,KSWS,NPR News,,Public Radio,1,False
279,Northwest Public Broadcasting,AM,KWSU,NPR News,,Public Radio,1,False
164,NWPB Classical,FM,KZAZ,NPR and Classical Music,,Classical,1,True
163,NWPB Classical,FM,KNWY,NPR and Classical Music,,Public Radio,1,False
160,NWPB Classical,FM,KNWP,NPR and Classical Music,,Public Radio,1,False
838,Northwest Public Broadcasting,FM,KMWS,NPR News,,Public Radio,1,False
281,Northwest Public Broadcasting,FM,KQWS,NPR News,,Public Radio,1,False
162,NWPB Classical,FM,KNWV,NPR and Classical Music,,Public Radio,1,False
1334,NWPB Classical,FM,KHNW,NPR and Classical Music,,Public Radio,1,False
1404,KJEM,FM,KJEM,KJEM Jazz,,Jazz,1,True
1442,KPBZ Spokane Public Radio,FM,KPBZ,,,Public Radio,1,False
1405,NWPB Classical,FM,KNWU,NPR and Classical Music,,Public Radio,1,False
79,KEXP,FM,KEXP,Where the Music Matters,,Public Radio,1,False
1171,NWPB Classical,FM,KVTI,NPR and Classical Music,,Public Radio,15,False
1350,Northwest Public Broadcasting,FM,KYVT,NPR News,,Public Radio,15,False
554,WNYC Radio,FM,WNYC,New York Public Radio,WNYC Radio,,1,False
298,WAMC Northeast Public Radio,FM,WAMC,WAMC/Northeast Public Radio,WAMC Northeast Public Radio,,1,False
553,WNYC Radio - AM ,AM,WNYC,New York Public Radio,,Public Radio,1,False
310,WBFO,FM,WBFO,Your NPR Station,,Public Radio,1,False
604,WRVO,FM,WRVO,Your Source for NPR News,WRVO,,1,False
619,WSKG,FM,WSKG,"Trusted News, Thoughtful Conversations",WSKG,,1,False
721,WXXI News,AM,WXXI,"Rochester and the Finger Lakes home for news, information, and NPR",WXXI News,,1,False
613,WSHU,FM,WSUF,NPR News and Classical Music,WSHU,,1,False
296,WAER,FM,WAER,Your Local NPR Station from Syracuse University,,Public Radio,1,False
555,WNYE,FM,WNYE,"WNYE-FM, New York",,Public Radio,1,False
393,WFUV,FM,WFUV,Listener Supported Public Media from Fordham University in New York City,,Adult Album Alternative,1,True
575,WPPB,FM,WPPB,Long Island's Only NPR Station,WPPB,,1,False
503,WMHT,FM,WMHT,Community. Culture. Connections. Life Amplified.,,Classical,1,True
632,NCPR,FM,WXLU,North Country Public Radio,NCPR,,1,False
1041,WRVO,FM,WSUC,Your Source for NPR News,,College,1,True
722,Classical 91.5 WXXI-FM,FM,WXXI,Perfectly tuned to your day,,Classical,1,True
624,WSKG Classical,FM,WSQX,Music and More,,Classical,1,True
958,WEXT,FM,WEXT,Leave Regular Radio Behind,,Adult Album Alternative,1,True
1031,VPR Classical,FM,WOXR,VPR Classical on WOXR Schuyler Falls/Burlington 90.9FM,,Classical,1,True
1547,WMVQ-FM,FM,WMVQ,,,Public Radio,1,False
1244,WNJY Radio - FM,FM,WNJY,New York Public Radio,,Public Radio,1,False
1245,WNJO Radio - FM ,FM,WNJO,New York Public Radio,,Public Radio,1,False
510,MPB Think Radio,FM,WMPN,Mississippi is our Mission.,,Public Radio,1,False
460,WJSU,FM,WJSU,"WJSU is ""Cool and Current""",,Jazz,1,True
582,WPRL,FM,WPRL,Alcorn Public Radio,,Public Radio,1,False
670,WURC,FM,WURC,Your station that cares,,Public Radio,1,False
256,Wyoming Public Radio,FM,KUWR,Wyoming Public Media Statewide Network,Wyoming Public Radio,,1,False
1546,KEUW-FM,FM,KEUW,,,Public Radio,1,False
1544,KUWW-FM,FM,KUWW,,,Public Radio,1,False
1056,Yellowstone Public Radio,FM,KPRQ,Yellowstone Public Radio,Yellowstone Public Radio,,1,False
1543,KZUW-FM,FM,KZUW,,,Classical,1,True
1537,KUWE-FM,FM,KUWE,,,Public Radio,1,False
1538,KUWV-FM,FM,KUWV,,,Public Radio,1,False
692,Vermont Public Radio,FM,WVPS,,Vermont Public Radio,,1,False
894,VPR Classical,FM,WNCH,VPR Classical on WNCH Norwich 88.1FM,,Classical,1,True
1003,VPR Classical,FM,WVTQ,VPR Classical on WVTQ Sunderland/Manchester 95.1FM,,Classical,1,True
1176,VPR Classical,FM,WVXR,VPR Classical on WVXR Randolph 102.1FM,,Classical,1,True
1163,VPR Classical,FM,WOXM,VPR Classical on WOXM Middlebury 90.1FM,,Classical,1,True
1370,VPR Classical,FM,WVNK,VPR Classical on 91.1FM in Manchester.,,Classical,1,True
1490,VPR Classical,FM,WOXM,VPR Classical on WVXM Middlebury 90.1 FM,,Classical,1,True
1116,VPR Classical,FM,WVTI,VPR Classical on WVTI Island Pond/Brighton 106.9FM,,Classical,1,True
